,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
523,"Quạt Tích Điện, Quạt Đứng Thông Minh XIAOMI Smartmi Gen 3 Pro/ Smartmi Gen 2S/ Smartmi Gen 2 Lite Tốc Độ Gió Quạt Siêu Êm, Kết Nối App Mihome - Hàng Chính Hãng",1770000,3569000,50,5.0,1,13,HOMES STORE,Quạt Điện
525,"Quạt Sạc Tích Điện Để Bàn Đa Năng COMET CRF1506 7W, 4 Cấp Độ Gió, Xoay 90 Độ, 2 pin rời 18650 Lithium 1500mAh Để Bàn Văn Phòng",459000,540000,15,4.6,5,18,Comet Electric Official Store,Quạt Điện
526,Quạt sạc tích điện Honjianda FL 601 - tích hợp đèn LED & cổng USB - có remote,1484000,1484000,0,3.5,2,13,GIA DỤNG VIỆT,Quạt Điện
527,Quạt Điện Đứng Senko L1638 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,365000,365000,0,4.8,181,899,Tuấn Yến HCM,Quạt Điện
529,Quạt bàn đảo 4 Tấc chuyển hướng điện cao cấp Senko ( Hàng Chính Hãng ) BD1410,478000,483000,1,5.0,11,36,Tuấn Yến HCM,Quạt Điện
531,"Quạt kẹp thắt lưng OVIE WF2 Yoobao tích điện 10000mAh kiêm Sạc Dự Phòng Đeo Thắt Lưng, Đeo Cổ có đèn hiển thị pin - Hàng chính hãng",379000,379000,0,4.0,1,11,HoangHai store,Quạt Điện
532,Quạt điện Senko để bàn tiện lợi cao cấp B1213 màu ngẫu nhiên - Hàng Chính Hãng,291000,291000,0,4.7,30,104,Tuấn Yến HCM,Quạt Điện
533,Quạt bàn đảo 3 Tấc chuyển hướng điện cao cấp Senko ( Hàng Chính Hãng ) BD8860,345000,345000,0,4.5,13,37,Tuấn Yến HCM,Quạt Điện
535,"Quạt Mini Để Bàn, Quạt Tích Điện Sạc USB Besti - Quạt Cầm Tay 3 Tốc Độ, Điều Chỉnh Hướng Gió Xoay 360 Độ, Kiểu Dáng Sang Trọng , Không Gây Ồn, Pin Sạc Dung Lượng Lớn - Hàng Chính Hãng",270000,270000,0,5.0,34,171,Venie,Quạt Điện
536,Quạt bàn đảo 4 Tấc chuyển hướng điện cao cấp Senko ( Hàng Chính Hãng ) BD850,478000,483000,1,4.3,10,27,Tuấn Yến HCM,Quạt Điện
537,Quạt Tích Điện Mini YooBao - 6400mAh - Sử Dụng Lên Đến 32h - Hàng Chính Hãng,266000,266000,0,3.0,2,27,Minhlam Store,Quạt Điện
538,Quạt điện Senko để bàn tiện lợi cao cấp B1216 màu ngẫu nhiên - Hàng Chính Hãng,291000,291000,0,4.7,11,77,Tuấn Yến HCM,Quạt Điện
540,Quạt điện cao cấp Senko TR1683 điều khiển từ xa bằng Remote màu ngẫu nhiên - Hàng chính hãng,508000,513000,1,4.8,30,133,Tuấn Yến HCM,Quạt Điện
541,Quạt Điện Đứng 7 cánh Senko LTS1636 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,438000,438000,0,5.0,7,20,Tuấn Yến HCM,Quạt Điện
544,Quạt điện Senko mẫu mới BX1212 tiện lợi cao cấp màu ngẫu nhiên - Hàng Chính Hãng,322000,322000,0,5.0,17,37,Tuấn Yến HCM,Quạt Điện
545,Quạt điện Senko để bàn tiện lợi cao cấp B1213 màu ngẫu nhiên - Hàng Chính Hãng,291000,291000,0,4.0,1,6,Tuấn Yến HCM,Quạt Điện
549,Quạt Để Bàn Kẹp Tích Điện Mini Dung Lượng Pin 3000mAh 5 Tốc Độ Gió Tích Hợp Đèn Ngủ Và Màn Hình LED - Hàng Chính Hãng Tamayoko,229000,229000,0,4.7,28,246,Tamayoko Official,Quạt Điện
551,"Quạt Mini Tích Điện USB ORICO GXZ-F833 Quạt Để Bàn Hoặc Kẹp Bàn 3 Tốc Độ, Không Gây Ồn, Pin Sạc Dung Lượng Cao - Hàng Chính Hãng",208000,208000,0,3.7,3,20,Bảo Hân Treasures,Quạt Điện
552,Quạt Sạc Tích Điện Mini Kẹp Bàn COMET CRF0705 5W Xoay 360 Độ pin Lithium 1800mAh,269000,329000,18,4.5,4,30,Comet Electric Official Store,Quạt Điện
553,Quạt bàn đảo 4 Tấc chuyển hướng điện cao cấp Senko BD1410 ( Hàng Chính Hãng )- Giao màu ngẫu nhiên,478000,483000,1,4.5,24,63,Tuấn Yến HCM,Quạt Điện
554,Quạt điện cao cấp Senko TR1428 điều khiển từ xa bằng Remote màu ngẫu nhiên - Hàng Chính Hãng,508000,513000,1,4.0,4,6,Tuấn Yến HCM,Quạt Điện
555,"Quạt tích điện không dây Cyke F8, hàng chính hãng",535000,535000,0,4.5,80,303,ĐIỆN MÁY HTG,Quạt Điện
556,Quạt Điện Đứng Senko L1638 - Công Suất 47W - Được Chọn Màu Tùy Thích - Hàng Chính Hãng,365000,365000,0,4.5,8,53,Tuấn Yến HCM,Quạt Điện
557,Quạt Điện Đứng Senko L1338 - thay mã mới L1638 Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,365000,365000,0,5.0,5,24,Tuấn Yến HCM,Quạt Điện
560,"Quạt tuần hoàn không khí Elmich CFE-8787, quạt làm mát diện rộng và làm mới không khí, gọn nhẹ, dễ dàng mang theo mọi nơi - Hàng chính hãng",723350,1669000,57,5.0,6,25,Tiki Trading,Quạt Điện
563,"Quạt treo tường điện tử Mitomo FTT-60AE NEW 2024, có điều khiễn từ xa, hẹn giờ hàng chính hãng - Bảo hành 2 năm",689000,1299000,47,5.0,2,9,MITOMO ELECTRONIC,Quạt Điện
564,"Quạt cầm tay tích điện đá lạnh S3213, mini sạc điện nhỏ gọn, công nghệ mới bán dẫn ngưng tụ sương nước, pin lớn đến 16h, hàng chính hãng",399000,399000,0,4.8,5,33,ĐIỆN MÁY HTG,Quạt Điện
