name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
QUẠT SẠC TÍCH ĐIỆN DP-7624 CÓ ĐÈN LED CẢM ỨNG 3 CHẾ ĐỘ- Hàng Chính Hãng,243040,248000,2,0.0,0,1,N/A,N/A,Vietstore24h,,N/A,https://tiki.vn/quat-sac-tich-dien-dp-7624-co-den-led-cam-ung-3-che-do-p182742944.html?spid=182742945
Quạt sạc tích điện mini cầm tay Rockspace đế đa năng đặt bàn - Hàng chính hãng,99000,159000,38,0.0,0,5,N/A,N/A,ROCKSPACE OFFICIAL STORE,,N/A,https://tiki.vn/quat-sac-tich-dien-mini-cam-tay-rockspace-de-da-nang-dat-ban-hang-chinh-hang-bao-hanh-12-thang-loi-1-doi-1-p135284058.html?spid=135284063
Quạt cắm điện để bàn mini hình hoạt hình 2 chế độ gió siêu mát tiết kiệm điện - Hàng chính hãng,179000,220000,19,5.0,1,15,N/A,N/A,Tiện ích 1708,,N/A,https://tiki.vn/quat-cam-dien-de-ban-mini-hinh-hoat-hinh-2-che-do-gio-sieu-mat-tiet-kiem-dien-nang-p274360748.html?spid=274360811
Quạt tích điện kiêm đèn đa năng Naturehike NH22ZM001 8000mAh [Hàng chính hãng,1639000,1639000,0,0.0,0,0,N/A,N/A,Quân Camp,,N/A,https://tiki.vn/quat-tich-dien-kiem-den-da-nang-naturehike-nh22zm001-8000mah-p273886625.html?spid=273889611
Quạt Thông Minh Xiaomi Mi Smart Standing Fan 2 Kết Nối App Điện Thoại - Hàng Chính Hãng,1970000,3699000,47,0.0,0,0,N/A,N/A,HOMES STORE,,N/A,https://tiki.vn/quat-thong-minh-xiaomi-standing-fan-2-lite-hang-chinh-hang-p274853698.html?spid=274853699
Quạt Cầm Tay Mini Đa Năng Tích Điện - Siêu Mát - Không Tiếng Ồn,99000,180000,45,0.0,0,0,N/A,N/A,Mifan Official Store,,N/A,https://tiki.vn/quat-cam-tay-mini-da-nang-tich-dien-sieu-mat-khong-tieng-on-p147697044.html?spid=147697048
Quạt Để Bàn Có Sạc Tích Điện Đèn Led Perfect PF-QB2180 (Trắng) - Hàng Chính Hãng,300000,390000,23,0.0,0,11,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/quat-de-ban-co-sac-tich-dien-den-led-perfect-pf-qb2180-trang-hang-chinh-hang-p274986968.html?spid=274986970
"Quạt Đeo Cổ Hình Thú Wind 3D, Quạt Quàng Cổ Không Cánh Mini Cute Sạc Tích Điện USB 3 Cấp Độ Gió Siêu Mát (Giao ngẫu nhiên) - Hàng chính hãng",145000,145000,0,3.0,2,29,N/A,N/A,Tiện ích 1708,,N/A,https://tiki.vn/quat-deo-co-hinh-thu-wind-3d-quat-quang-co-khong-canh-mini-cute-sac-tich-dien-usb-3-cap-do-gio-sieu-mat-giao-ngau-nhien-p274682010.html?spid=274682011
"Quạt cầm tay mini tích điện để bàn có đèn đổi màu dễ thương HBH, hàng chính hãng",45000,45000,0,5.0,1,1,N/A,N/A,Shop HBH247,,N/A,https://tiki.vn/quat-cam-tay-mini-tich-dien-de-ban-co-den-doi-mau-nhieu-hinh-de-thuong-hbh-quat-dien-mini-cam-tay-gap-gon-sac-usb-p174253198.html?spid=174253199
Combo 2 Quạt treo tường PEC Điện cơ 91 QTT-CN450/2D (Hàng chính hãng),795000,795000,0,0.0,0,6,N/A,N/A,Cửa Hàng Tuấn Anh,,N/A,https://tiki.vn/combo-2-quat-treo-tuong-pec-dien-co-91-qtt-cn450-2d-hang-chinh-hang-p21143327.html?spid=68188462
Quạt Điện Đứng 7 Cánh Senko LTS1636 (65w) - LTS1632 (60W) - DTS1607 (65W) - DTS1609 (60W) - DCN1808 (75W) - DCN1806 (75W) - Hàng Chính Hãng - Bảo Hành 24 Tháng,561000,862000,35,0.0,0,1,N/A,N/A,Edistributor,,N/A,https://tiki.vn/quat-dien-dung-7-canh-senko-lts1636-65w-lts1632-60w-dts1607-65w-dts1609-60w-dcn1808-75w-dcn1806-75w-hang-chinh-hang-bao-hanh-24-thang-p275438094.html?spid=275438106
Quạt Điện Senko Để Bàn Tiện Lợi Cao Cấp B1216 (40w) - B1213 (40W) - B1210 (40W) - B1616 (47W) - B1612 (47W) - Hàng Chính Hãng - Bảo Hành 24 Tháng,455000,455000,0,0.0,0,0,N/A,N/A,Edistributor,,N/A,https://tiki.vn/quat-dien-senko-de-ban-tien-loi-cao-cap-b1216-40w-b1213-40w-b1210-40w-b1616-47w-b1612-47w-hang-chinh-hang-bao-hanh-24-thang-p275453566.html?spid=275453568
Quạt Đứng Tích Điện Năng Lượng Mặt Trời chính hãng Jindian công suất 25w -Mã JD188LL ,1100000,1100000,0,5.0,2,4,N/A,N/A,Đèn Năng Lượng Jindian,,N/A,https://tiki.vn/quat-du-ng-ti-ch-die-n-nang-luong-mat-troi-jindian-25w-ba-o-ha-nh-12-tha-ng-p178255711.html?spid=178255712
"Quạt tích điện Lebenlang LBL1702, quạt cây có điều khiển 5in1, 35W, sạc từ 4-6h, 5 tốc độ gió, bảo hành 2 năm – hàng chính hãng",1569000,2599000,40,0.0,0,0,N/A,N/A,LEbenlang,,N/A,https://tiki.vn/quat-tich-dien-lebenlang-lbl1702-quat-cay-co-dieu-khien-5in1-35w-sac-tu-4-6h-5-toc-do-gio-bao-hanh-2-nam-hang-chinh-hang-p275869161.html?spid=275869163
