name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
"Nồi Cơm Điện Tử 1,8L TOSHIBA RC-18DR3PV(G) - Hàng chính hãng",2159000,2900000,26,0.0,0,0,N/A,N/A,Gia Khang,,N/A,https://tiki.vn/noi-com-dien-tu-1-8l-toshiba-rc-18dr3pv-g-hang-chinh-hang-p184492634.html?spid=262689122
Nồi cơm điện tử áp suất Cuckoo 1.08 lít CRP-PK0600F/BKRDVN - Hàng Chính Hãng,4190000,4190000,0,0.0,0,0,N/A,N/A,Điện Máy Xanh Official,,N/A,https://tiki.vn/noi-com-dien-tu-ap-suat-cuckoo-1-08-lit-crp-pk0600f-bkrdvn-hang-chinh-hang-p276032574.html?spid=276032575
Nồi cơm điện tử Nagakawa NAG0142 (1.5L) - 10 chương trình nấu - Hàng chính hãng),849150,1490000,43,4.8,6,27,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-nagakawa-nag0142-1-5l-10-chuong-trinh-nau-hang-chinh-hang-p194473550.html?spid=194473552
Nồi cơm điện tử cao tần Tefal 1.5L - Thương hiệu Pháp - RK808168 - Hàng chính hãng,1592800,2999000,47,5.0,2,10,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-cao-tan-tefal-1-5l-thuong-hieu-phap-rk808168-hang-chinh-hang-p80128431.html?spid=274679947
Nồi cơm điện tử AVA 1.8 lít TP40-CT01E - Hàng Chính Hãng,1390000,1500000,7,0.0,0,2,N/A,N/A,Điện Máy Xanh Official,,N/A,https://tiki.vn/noi-com-dien-tu-ava-1-8-lit-tp40-ct01e-hang-chinh-hang-p275622987.html?spid=275622988
Nồi cơm điện tử Toshiba RC-18DR3PV(G) (1.8 Lít) - Vàng đồng - Hành Chính Hãng,2199000,2400000,8,5.0,1,1,N/A,N/A,Trương Thiên Long,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-18dr3pv-g-1-8-lit-vang-dong-hanh-chinh-hang-p183251161.html?spid=197193513
Nồi cơm điện Cuckoo 1.8 lít CR-1021 màu đỏ - bản quốc tế tiếng Anh - Hàng chính hãng Cuckoovina,1669000,1669000,0,0.0,0,2,N/A,N/A,dienmaycuongviet,,N/A,https://tiki.vn/noi-com-dien-cuckoo-1-8-lit-cr-1021-mau-do-ban-quoc-te-tieng-anh-hang-chinh-hang-cuckoovina-p273191227.html?spid=273571610
Nồi cơm điện tử áp suất kép Cuckoo CRP-ST1010FW (1.8L) (màu trắng) - Hàng Chính Hãng,5790000,7990000,28,5.0,1,1,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-ap-suat-kep-cuckoo-crp-st1010fw-1-8l-mau-trang-hang-chinh-hang-p263486958.html?spid=263486959
Nồi cơm điện tử Tefal RK736B68 1.8L - 11 chương trình nấu - Hàng Chính Hãng,1400000,1999000,30,0.0,0,1,N/A,N/A,JA STORE,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk736b68-1-8l-11-chuong-trinh-nau-hang-chinh-hang-p201518034.html?spid=201518036
"Nồi cơm điện tử Tefal RK732168, Dung tích 1.8L, Công suất 750W -  Hàng chính hãng",979000,979000,0,0.0,0,0,N/A,N/A,Yes1 Store,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk732168-dung-tich-1-8l-cong-suat-750w-hang-chinh-hang-p148679957.html?spid=160570273
Nồi cơm điện cao tần Cuckoo 1.8 lít CRP-CHSS1009FN - Hàng Chính Hãng - Chỉ Giao Hồ Chí Minh,8590000,8590000,0,0.0,0,0,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-cao-tan-cuckoo-1-8-lit-crp-chss1009fn-hang-chinh-hang-chi-giao-ho-chi-minh-p193515160.html?spid=196849074
Nồi cơm điện tử Toshiba 1.8 lít RC-18DH2PV(W)- Hàng Chính Hãng - Chỉ Giao tại TPHCM,1900000,1900000,0,0.0,0,0,N/A,N/A,Điện Máy Phú Sĩ,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-1-8-lit-rc-18dh2pv-w-hang-chinh-hang-chi-giao-tai-tphcm-p102400610.html?spid=155549566
[MỚI RA MẮT] Nồi cơm điện tử cao tần Tefal mini 0.7L RK604165 - Hàng chính hãng,2446400,3999000,39,5.0,1,3,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/moi-ra-mat-noi-com-dien-tu-cao-tan-tefal-mini-0-7l-rk604165-hang-chinh-hang-p230200847.html?spid=274679957
[MỚI RA MẮT] Nồi cơm điện tử cao tần Tefal mini 0.7L RK604165 - Hàng chính hãng,2540000,3999000,36,0.0,0,0,N/A,N/A,Công ty Kỷ Nguyên,,N/A,https://tiki.vn/moi-ra-mat-noi-com-dien-tu-cao-tan-tefal-mini-0-7l-rk604165-hang-chinh-hang-p272444082.html?spid=275343502
Nồi cơm điện tử Kangaroo KG18DR8 dung tích 1.8L - Hàng chính hãng,1300000,1830000,29,0.0,0,2,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-kangaroo-kg18dr8-dung-ti-ch-1-8l-ha-ng-chi-nh-ha-ng-p160419029.html?spid=275973001
"Nồi Cơm Điện Tử Unie URC815, Lòng Nồi Gốm Tự Nhiên 1.5Lit-700W, Ủ Ấm 3D, Hàng chính hãng",1790000,2499000,28,0.0,0,2,N/A,N/A,TD Electrical Supermarket,,N/A,https://tiki.vn/noi-com-dien-tu-unie-urc815-long-noi-gom-tu-nhien-1-5lit-700w-u-am-3d-hang-chinh-hang-p275170290.html?spid=275170291
Nồi cơm điện tử áp suất cao tần Cuckoo 1.8L CRP-CHSS1009FN (Màu nâu) - Hàng chính hãng,10020000,11362000,12,0.0,0,0,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-ap-suat-cao-tan-cuckoo-1-8l-crp-chss1009fn-mau-nau-hang-chinh-hang-p263517257.html?spid=263517259
Nồi cơm điện Tiger JNP 1800- HÀNG CHÍNH HÃNG,2427880,2616000,7,0.0,0,3,N/A,N/A,Điện máy Sài Gòn,,N/A,https://tiki.vn/noi-com-dien-tiger-jnp-1800-p212580561.html?spid=212580565
Nồi cơm điện cao tần Toshiba 1.8 lít RC-18RH(CG)VN - Hàng Chính Hãng - Chỉ Giao tại TPHCM,4830000,4830000,0,0.0,0,1,N/A,N/A,Yes1 Store,,N/A,https://tiki.vn/noi-com-dien-cao-tan-toshiba-1-8-lit-rc-18rh-cg-vn-hang-chinh-hang-chi-giao-tai-tphcm-p102400626.html?spid=168919437
